Year,Studio Entertainment[NI 1],Disney Consumer Products[NI 2],Disney Interactive Media[NI 3],Parks and Resorts[NI 4],Disney Media Networks[NI 5],Total,Source
1991,318,229,,546,,1094,[124]
1992,508,283,,644,,1435,[124]
1993,622,355,,746,,1724,[124]
1994,779,425,,684,77,1965,[125][126]
1995,998,510,,860,76,2445,[125][126]
1996,"1,596[NI 2]","1,596[NI 2]",−300[NI 7],990,747,3033,[126]
1997,1079,893,−56,1136,1699,4312,[129]
1998,769,801,−94,1288,1746,4079,[129]
1999,116,607,−93,1446,1611,3231,[129]
2000,110,455,−402,1620,2298,4081,[130]
2001,260,401,,1586,1758,4214,[131]
2002,273,394,,1169,986,2826,[131]
2003,620,384,,957,1213,3174,[132]
2004,662,534,,1123,2 169,4488,[132]
2005,207,543,,1178,3209,5137,[133]
2006,729,618,,1534,3610,6491,[133]
2007,1201,631,,1710,4285,7827,[134]
2008,1086,778,−258,1897,4942,8445,[135]
2009,175,609,−295,1418,4765,6672,[136]
2010,693,677,−234,1318,5132,7586,[137]
2011,618,816,−308,1553,6146,8825,[138]
2012,722,937,−216,1902,6619,9964,[139]
2013,661,1112,−87,2220,6818,10724,[140]
2014,1549,1356,116,2663,7321,13005,[141]
2015,1973,1752,132,3031,7793,14681,[142]
2016,2703,1965,1965,3298,7755,15721,[143]
2017,2355,1744,1744,3774,6902,14775,[144]
2018,2980,1632,1632,4469,6625,15706,[145]
