Year,Studio Entertainment[NI 1],Disney Consumer Products[NI 2],Disney Interactive Media[NI 3][Rev 1],Parks & Resorts[NI 4],Disney Media Networks[NI 5],Total,Source
1991,2593.0,724,,2794.0,,6111,[124]
1992,3115,1081,,3306.0,,7502,[124]
1993,3673.4,1415.1,,3440.7,,8529,[124]
1994,4793,1798.2,,3463.6,359,10414,[125][126][127]
1995,6001.5,2150,,3959.8,414,12525,[125][126][127]
1996,"10,095[NI 2]","10,095[NI 2]",,4502.0,"4,142[Rev 2]",18739,[126][128]
1997,6981,3782,174.0,5014.0,6522,22473,[129]
1998,6849,3193,260.0,5532.0,7142,22976,[129]
1999,6548,3030,206.0,6106.0,7512,23435,[129]
2000,5994,2602,368.0,6803.0,9615,25402,[130]
2001,7004,2590,,6009.0,9569,25790,[131]
2002,6465,2440,,6691.0,9733,25360,[131]
2003,7364,2344,,6412.0,10941,27061,[132]
2004,8713,2511,,7750.0,11778,30752,[132]
2005,7587,2127,,9023.0,13207,31944,[133]
2006,7529,2193,,9925.0,14368,34285,[133]
2007,7491,2347,,10626.0,15046,35510,[134]
2008,7348,2415,719.0,11504.0,15857,37843,[135]
2009,6136,2425,712.0,10667.0,16209,36149,[136]
2010,"6,701[NI 6]","2,678[NI 6]",761.0,10761.0,17162,38063,[137]
2011,6351,3049,982.0,11797.0,18714,40893,[138]
2012,5825,3252,845.0,12920.0,19436,42278,[139]
2013,5979,3555,1064.0,14087.0,20356,45041,[140]
2014,7278,3985,1299.0,15099.0,21152,48813,[141]
2015,7366,4499,1174.0,16162.0,23264,52465,[142]
2016,9441,5528,5528.0,16974.0,23689,55632,[143]
2017,8379,4833,4833.0,18415.0,23510,55137,[144]
2018,9987,4651,4651.0,20296.0,24500,59434,[145]
